variable,count,mean,std,min,25%,50%,75%,max
application_order,4424.0,1.7278481012658229,1.3137930783621674,0.0,1.0,1.0,2.0,9.0
course,4424.0,8856.642631103074,2063.566416197537,33.0,9085.0,9238.0,9556.0,9991.0
previous_qualification,4424.0,4.577757685352622,10.216592341267893,1.0,1.0,1.0,1.0,43.0
previous_qualification_grade,4424.0,132.6133137432188,13.188331685876285,95.0,125.0,133.1,140.0,190.0
admission_grade,4424.0,126.97811934900544,14.482000818849485,95.0,117.9,126.1,134.8,190.0
age_at_enrollment,4424.0,23.265144665461122,7.587815615029819,17.0,19.0,20.0,25.0,70.0
curricular_units_1st_sem_credited,4424.0,0.7099909584086799,2.3605066191181483,0.0,0.0,0.0,0.0,20.0
curricular_units_1st_sem_enrolled,4424.0,6.2705696202531644,2.480178175307104,0.0,5.0,6.0,7.0,26.0
curricular_units_1st_sem_evaluations,4424.0,8.299050632911392,4.1791055691439825,0.0,6.0,8.0,10.0,45.0
curricular_units_1st_sem_approved,4424.0,4.706600361663653,3.094237979694002,0.0,3.0,5.0,6.0,26.0
curricular_units_1st_sem_grade,4424.0,10.640821575178572,4.843663380671806,0.0,11.0,12.28571429,13.4,18.875
curricular_units_1st_sem_without_evaluations,4424.0,0.13765822784810128,0.6908801837297883,0.0,0.0,0.0,0.0,12.0
curricular_units_2nd_sem_credited,4424.0,0.5418173598553345,1.9185461437102433,0.0,0.0,0.0,0.0,19.0
curricular_units_2nd_sem_enrolled,4424.0,6.232142857142857,2.195950751463278,0.0,5.0,6.0,7.0,23.0
curricular_units_2nd_sem_evaluations,4424.0,8.063291139240507,3.947950941437388,0.0,6.0,8.0,10.0,33.0
curricular_units_2nd_sem_approved,4424.0,4.435804701627487,3.014763902385565,0.0,2.0,5.0,6.0,20.0
curricular_units_2nd_sem_grade,4424.0,10.230205722719258,5.210807954658521,0.0,10.75,12.2,13.33333333,18.57142857
curricular_units_2nd_sem_without_evaluations,4424.0,0.15031645569620253,0.753774068513021,0.0,0.0,0.0,0.0,12.0
unemployment_rate,4424.0,11.56613924050633,2.6638504843026367,7.6,9.4,11.1,13.9,16.2
inflation_rate,4424.0,1.228028933092224,1.3827106915401046,-0.8,0.3,1.4,2.6,3.7
gdp,4424.0,0.001968806509945778,2.2699354412537627,-4.06,-1.7,0.32,1.79,3.51
